Вес,Тип вилки,Тип рамы,Тип велосипеда,Тормоза,Название,Ссылка на фото,Популярность посещения сайта (в неделю),Цена,Скидка
28 кг.,Жесткая,Сталь,Велосипеды Stels->Грузовые и другие,"V-brake, алюминий",Велосипед Stels Stels Energy-1 (2011),https://www.velosklad.ru/i/models/big/7046.jpg,327,12780,0.10
29.5 кг.,Жесткая,Сталь,Грузовые и другие->Трехколесные,Передний ободной (V-типа) / Задний барабанный,Велосипед Stels Energy VI 26 VB V010 (2023),https://www.velosklad.ru/i/models/big/26300.jpg,342,52490,
29 кг.,Жесткая,Алюминий,Грузовые и другие->Трехколесные,Передний ободной (V-типа) / Задний ножной,Велосипед Stels Energy III 26 K010 (2022),https://www.velosklad.ru/i/models/big/24258.jpg,315,55760,
28 кг.,Жесткая,Алюминий,Велосипеды Stels->Грузовые и другие,"Передний - V-образный, задний - ножной",Велосипед Stels Energy I (2012),https://www.velosklad.ru/i/models/big/7795.jpg,176,12780,0.10
11.5 кг.,,Сталь,Грузовые и другие->Велосипеды прицепы,,Велосипед - прицеп Eltreco VIC-1303 (грузовой) (2015),https://www.velosklad.ru/i/models/big/12884.jpg,208,16500,
28.52 кг.,Жесткая,Алюминий,Велосипеды Stels->Грузовые и другие,"Передний: V-brake, задний: барабанный",Велосипед Stels Energy I (2013),https://www.velosklad.ru/i/models/big/8876.jpg,200,15010,0.5
28 кг.,Жесткая,Алюминий 6061,Велосипеды Stels->Грузовые и другие,"Передний - V-образный, задний - ножной",Велосипед Stels Energy III (2012),https://www.velosklad.ru/i/models/big/7491.jpg,129,15480,0.10
28.54 кг.,Жесткая,Алюминий,Велосипеды Stels->Грузовые и другие,"Передний: V-brake, задний: ножной",Велосипед Stels Energy III (2013),https://www.velosklad.ru/i/models/big/8877.jpg,131,17960,0.5
10 кг.,Жесткая,Алюминий,Грузовые и другие->Велосипеды прицепы,,Велосипед - прицеп для детей Eltreco VIC-1303 (2018),https://www.velosklad.ru/i/models/big/14467.jpg,142,19900,
11.53 кг.,,Сталь,Грузовые и другие->Велосипеды прицепы,,Велосипед - прицеп Eltreco VIC-1304 (грузовой) (2015),https://www.velosklad.ru/i/models/big/12886.jpg,139,19900,
7.56 кг.,,Сталь,Грузовые и другие->Велосипеды прицепы,,Велосипед - прицеп Eltreco VIC-1306 (для животных) (2018),https://www.velosklad.ru/i/models/big/12885.jpg,147,19190,
7.5 кг.,Жесткая,Алюминий,Грузовые и другие->Велосипеды прицепы,,Велосипед - прицеп Eltreco VIC-1306 (2018),https://www.velosklad.ru/i/models/big/17342.jpg,120,22000,
9.8 кг.,,Алюминий,Грузовые и другие->Велосипеды прицепы,,Велосипед - прицеп Eltreco VIC-1305 (2016),https://www.velosklad.ru/i/models/big/16480.jpg,127,25035,
28 кг.,Жесткая,Алюминий,Грузовые и другие->Трехколесные,"Передний: Tektro, V-типа; задний: ножной",Велосипед Stels Energy 1 (2016),https://www.velosklad.ru/i/models/big/14488.jpg,159,22290,0.31
33 кг.,Жесткая,Сталь,Грузовые и другие->Трехколесные,"Передний тормоз - ободной V-brake, задний тормоз - дисковый механический",Велосипед Rush Hour Termit 4 (2021),https://www.velosklad.ru/i/models/big/22718.jpg,121,24990,
27.5 кг.,Жесткая,Алюминий,Грузовые и другие->Трехколесные,Ободные механические,Велосипед Stels Energy 4 V020 (2017),https://www.velosklad.ru/i/models/big/16344.jpg,144,25790,0.25
28 кг.,Жесткая,Алюминий,Грузовые и другие->Трехколесные,"передний: C310, TEKTRO, V-brake, задний: ножной",Велосипед Stels Energy I (2014),https://www.velosklad.ru/i/models/big/10467.jpg,112,22910,0.10
28.2 кг.,Жесткая,Алюминий,Грузовые и другие->Трехколесные,"передний: AL V-brake, задний: ножной",Велосипед Stels Energy III (2014),https://www.velosklad.ru/i/models/big/10776.jpg,113,26290,0.10
28 кг.,Жесткая,Алюминий,Грузовые и другие->Трехколесные,"Tektro, V-типа; задний ножной",Велосипед Stels Energy 1 (2017),https://www.velosklad.ru/i/models/big/15490.jpg,121,25110,0.27
28.5 кг.,Жесткая,Алюминий,Грузовые и другие->Трехколесные,Tektro V-типа; задний ножной,Велосипед Stels Energy 1 V030 (2017),https://www.velosklad.ru/i/models/big/16343.jpg,125,26290,0.24
14.4 кг.,,Сталь,Грузовые и другие->Велосипеды прицепы,,Велосипед - прицеп Eltreco VIC-1302 (для 2-х детей) (2016),https://www.velosklad.ru/i/models/big/14466.jpg,126,31130,
30 кг.,Жесткая,Сталь,Грузовые и другие->Трехколесные,"Передний тормоз - ободной V-brake, задний тормоз - ножной",Велосипед Rush Hour Termit 26 (2021),https://www.velosklad.ru/i/models/big/22716.jpg,117,26990,
33 кг.,Жесткая,Сталь,Грузовые и другие->Трехколесные,"Передний тормоз - ободной V-brake, задний тормоз - дисковый механический",Велосипед Rush Hour T4 (2023),https://www.velosklad.ru/i/models/big/26173.jpg,150,29990,
28.5 кг.,Жесткая,Алюминий,Грузовые и другие->Трехколесные,"Передний тормоз - ободной V-brake, задний - ножной",Велосипед Stels Energy I 26 V030 (2018),https://www.velosklad.ru/i/models/big/19312.jpg,122,29990,0.29
28 кг.,Жесткая,Алюминий,Грузовые и другие->Трехколесные,"Передний: Tektro, V-типа; задний: ножной",Велосипед Stels Energy 3 (2016),https://www.velosklad.ru/i/models/big/14489.jpg,105,29990,0.16
28.2 кг.,Жесткая,Алюминий,Грузовые и другие->Трехколесные,"передний: AL V-brake, задний: ножной",Велосипед Stels Energy 3 (2015),https://www.velosklad.ru/i/models/big/12458.jpg,108,32270,0.13
31 кг.,Жесткая,Сталь,Грузовые и другие->Трехколесные,"Передний тормоз - ободной V-brake, задний тормоз - ножной",Велосипед Rush Hour Termit 3 (2021),https://www.velosklad.ru/i/models/big/22717.jpg,117,32990,
28.5 кг.,Жесткая,Алюминий,Грузовые и другие->Трехколесные,Ручной,Велосипед Stels Energy I 26 V020 (2018),https://www.velosklad.ru/i/models/big/17623.jpg,113,33590,0.20
28 кг.,Жесткая,Алюминий,Грузовые и другие->Трехколесные,"Передний: Tektro, V-типа; задний: ножной",Велосипед Stels Energy 2 (2016),https://www.velosklad.ru/i/models/big/14493.jpg,110,36250,0.9
28.4 кг.,Жесткая,Алюминий,Грузовые и другие->Трехколесные,Передний: тормоз V-типа /  задний: барабанный (ленточный),Велосипед Stels Energy III 26 V030 (2018),https://www.velosklad.ru/i/models/big/17676.jpg,106,34990,0.34
45 кг.,Пружинно-эластомерная,Сталь,Грузовые и другие->С мотором,"Передний V-BRAKE, задний барабанный тормоз",Велосипед Eltreco GM Porter (2015),https://www.velosklad.ru/i/models/big/12895.jpg,115,40600,0.10
